Frequency,Power
0.000000000000000000e+00,4.140759496728551312e+03
3.333333333333333547e-03,1.666871143430229131e+04
6.666666666666667095e-03,3.046853681348525060e+04
1.000000000000000021e-02,1.113601600269584196e+04
1.333333333333333419e-02,2.420068286632164927e+03
1.666666666666666644e-02,5.182926679314468856e+02
2.000000000000000042e-02,1.872320625129709981e+02
2.333333333333333440e-02,2.215188928064145841e+02
2.666666666666666838e-02,1.223480235610586533e+03
3.000000000000000236e-02,3.092516624333043183e+02
3.333333333333333287e-02,2.509377127931183509e+02
3.666666666666666685e-02,6.982265522775543332e+02
4.000000000000000083e-02,3.302626887758656835e+02
4.333333333333333481e-02,5.836236473793908317e+02
4.666666666666666879e-02,4.142200580305401445e+02
5.000000000000000278e-02,2.133299133685404740e+02
5.333333333333333676e-02,3.400738211073905291e+02
5.666666666666667074e-02,9.503116263099366279e+01
6.000000000000000472e-02,6.470030673724984354e+02
6.333333333333333870e-02,3.218106010271757214e+02
6.666666666666666574e-02,2.495645857981704410e+02
7.000000000000000666e-02,8.851346200294186417e+01
7.333333333333333370e-02,5.850982478661136099e+01
7.666666666666667462e-02,1.831974294759395718e+02
8.000000000000000167e-02,4.681873022456274498e+02
8.333333333333334259e-02,4.026956116005358695e+02
8.666666666666666963e-02,3.015530958472313046e+02
9.000000000000001055e-02,1.033995048417308880e+02
9.333333333333333759e-02,1.429080159230378797e+02
9.666666666666667851e-02,2.486489412163720303e+01
1.000000000000000056e-01,5.051657489793743849e+01
1.033333333333333465e-01,5.369284596314594893e+01
1.066666666666666735e-01,2.560753492318062996e+01
1.100000000000000006e-01,1.290121816841861460e+02
1.133333333333333415e-01,7.762760557320731891e+01
1.166666666666666685e-01,6.889503407736104634e+01
1.200000000000000094e-01,9.482344833703891140e+01
1.233333333333333365e-01,1.307093867315862212e+01
1.266666666666666774e-01,6.062168184731650200e+00
1.300000000000000044e-01,5.464089941169876852e+01
1.333333333333333315e-01,3.228585715177714377e+01
1.366666666666666863e-01,1.202962554457925748e+01
1.400000000000000133e-01,1.168140006972939346e+02
1.433333333333333404e-01,9.288505464705519898e+01
1.466666666666666674e-01,8.396619625602417614e+01
1.500000000000000222e-01,1.744418372599733686e+02
1.533333333333333492e-01,7.826333809537742070e+01
1.566666666666666763e-01,1.661533211413926097e+02
1.600000000000000033e-01,7.276589338485175062e+01
1.633333333333333304e-01,4.113336705018080153e+01
1.666666666666666852e-01,4.318611632448146054e+01
1.700000000000000122e-01,1.184200578820104681e+02
