Frequency,Power
0.000000000000000000e+00,5.806093452188466699e+02
5.000000000000000104e-04,4.092981097497892100e+06
1.000000000000000021e-03,4.788676384455671534e+06
1.500000000000000031e-03,5.314711172949650791e+05
2.000000000000000042e-03,1.402057685629645130e+06
2.500000000000000052e-03,2.767497600347357802e+06
3.000000000000000062e-03,6.278781336080170004e+05
3.500000000000000073e-03,1.624401474766355823e+05
4.000000000000000083e-03,8.489854448634567962e+04
4.500000000000000527e-03,3.528556119514250895e+04
5.000000000000000104e-03,3.140097241019224020e+04
5.499999999999999681e-03,2.326567658962782298e+04
6.000000000000000125e-03,2.407891311736010830e+05
6.500000000000000569e-03,8.873792559821350733e+04
7.000000000000000146e-03,9.907630153270800292e+03
7.499999999999999722e-03,1.386338928390330402e+05
8.000000000000000167e-03,5.452069771734701135e+03
8.500000000000000611e-03,1.255006887921177395e+03
9.000000000000001055e-03,6.778267444208929373e+04
9.499999999999999764e-03,3.163365654989123868e+04
1.000000000000000021e-02,4.945346350600722508e+04
1.050000000000000065e-02,1.622216146355006458e+04
1.099999999999999936e-02,4.718236926083425828e+02
1.149999999999999981e-02,9.052049493284424898e+03
1.200000000000000025e-02,3.674616233886040573e+04
1.250000000000000069e-02,2.264437736390941791e+04
1.300000000000000114e-02,3.061397993555833091e+04
1.349999999999999985e-02,9.630453193448438469e+03
1.400000000000000029e-02,1.767804081211763787e+03
1.450000000000000074e-02,8.385869115964640514e+03
1.499999999999999944e-02,8.313469626799964317e+03
1.549999999999999989e-02,1.250736370053351675e+04
1.600000000000000033e-02,9.043827381975732351e+03
1.650000000000000078e-02,8.361748747921747054e+03
1.700000000000000122e-02,4.932954340210212649e+03
1.750000000000000167e-02,3.794803593288658703e+03
1.800000000000000211e-02,1.410569716301125709e+03
1.849999999999999908e-02,1.236202238997141467e+04
1.899999999999999953e-02,7.042630326640642124e+03
1.949999999999999997e-02,2.195484182945249268e+04
2.000000000000000042e-02,4.498910510684658220e+04
2.050000000000000086e-02,6.974721808809653339e+03
2.100000000000000130e-02,3.415700520935586155e+03
2.150000000000000175e-02,7.018722449390933434e+03
2.199999999999999872e-02,2.292318152076511524e+03
2.249999999999999917e-02,1.098009129295722050e+04
2.299999999999999961e-02,7.977543782019494756e+03
2.350000000000000006e-02,3.499027455069777716e+03
2.400000000000000050e-02,5.663465873333750096e+03
2.450000000000000094e-02,2.954941419295435935e+03
2.500000000000000139e-02,2.256308200235625918e+02
2.550000000000000183e-02,4.577692190365086390e+03
2.600000000000000228e-02,1.779371001805743435e+04
2.649999999999999925e-02,2.085960094020572797e+04
2.699999999999999969e-02,2.470278656486996169e+03
2.750000000000000014e-02,1.308353046077300678e+04
2.800000000000000058e-02,9.892556737717532087e+03
2.850000000000000103e-02,4.432907678907053196e+03
2.900000000000000147e-02,1.072198635950162213e+02
2.950000000000000192e-02,8.134878911140535820e+03
2.999999999999999889e-02,1.797689804712431578e+04
3.049999999999999933e-02,4.200999127767670871e+03
3.099999999999999978e-02,1.866327635705237981e+03
3.150000000000000022e-02,5.770636207183126317e+03
3.200000000000000067e-02,2.809862568200164787e+02
3.250000000000000111e-02,6.732634798717903323e+03
3.300000000000000155e-02,1.273168523556834407e+04
3.350000000000000200e-02,5.691632528445725256e+03
