date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_ADX,entry1_PLUS_DI,exit0_MINUS_DI
2020-02-12,79.40457916259766,0,"[False, False]",[False],NO_TRADE,"Entry conditions not met: False, False",{},{},"[17.58000871265025, 15.407027088560053]","[None, 13.943876796500895]",[13.943876796500895],[15.407027088560053],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],17.58000871265025,15.407027088560053,13.943876796500895
2020-02-13,78.8391342163086,0,"[False, False]",[False],NO_TRADE,"Entry conditions not met: False, False",{},{},"[17.096082582019818, 15.777719602060293]","[None, 12.70062252286043]",[12.70062252286043],[15.777719602060293],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],17.096082582019818,15.777719602060293,12.70062252286043
2020-02-14,78.8585433959961,0,"[False, False]",[False],NO_TRADE,"Entry conditions not met: False, False",{},{},"[16.646722603577278, 15.045433600828144]","[None, 12.111152794978464]",[12.111152794978464],[15.045433600828144],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],16.646722603577278,15.045433600828144,12.111152794978464
2020-02-18,77.41459655761719,0,"[False, False]",[False],NO_TRADE,"Entry conditions not met: False, False",{},{},"[16.145679398527882, 14.170662574102431]","[None, 11.680635142555168]",[11.680635142555168],[14.170662574102431],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],16.145679398527882,14.170662574102431,11.680635142555168
2020-02-19,78.5357894897461,0,"[False, False]",[True],NO_TRADE,"Entry conditions not met: False, False",{},{},"[15.542905840585808, 13.753984462615755]","[None, 16.051010601739364]",[16.051010601739364],[13.753984462615755],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],15.542905840585808,13.753984462615755,16.051010601739364
2020-02-20,77.73008728027344,0,"[False, True]",[False],NO_TRADE,"Entry conditions not met: False, True",{},{},"[14.579249930254933, 15.316393100846774]","[None, 14.700528977863486]",[14.700528977863486],[15.316393100846774],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],14.579249930254933,15.316393100846774,14.700528977863486
2020-02-21,75.97065734863281,0,"[False, False]",[True],NO_TRADE,"Entry conditions not met: False, False",{},{},"[13.646222724135246, 14.397221180451153]","[None, 14.84072249737158]",[14.84072249737158],[14.397221180451153],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],13.646222724135246,14.397221180451153,14.84072249737158
2020-02-24,72.3620376586914,0,"[False, False]",[False],NO_TRADE,"Entry conditions not met: False, False",{},{},"[13.761614722031307, 13.566880005156122]","[None, 18.453780587302617]",[18.453780587302617],[13.566880005156122],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],13.761614722031307,13.566880005156122,18.453780587302617
2020-02-25,69.91097259521484,0,"[False, False]",[False],NO_TRADE,"Entry conditions not met: False, False",{},{},"[15.642873341241492, 12.408871094052362]","[None, 29.02255695213501]",[29.02255695213501],[12.408871094052362],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],15.642873341241492,12.408871094052362,29.02255695213501
2020-02-26,71.0199966430664,0,"[False, False]",[False],NO_TRADE,"Entry conditions not met: False, False",{},{},"[17.577938743497857, 11.272215462213364]","[None, 28.09555572441316]",[28.09555572441316],[11.272215462213364],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],17.577938743497857,11.272215462213364,28.09555572441316
2020-02-27,66.3775634765625,0,"[False, False]",[False],NO_TRADE,"Entry conditions not met: False, False",{},{},"[19.374785188450197, 10.15797926151129]","[None, 25.318365617293207]",[25.318365617293207],[10.15797926151129],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],19.374785188450197,10.15797926151129,25.318365617293207
2020-02-28,66.33873748779297,0,"[False, False]",[False],NO_TRADE,"Entry conditions not met: False, False",{},{},"[21.788563111368926, 9.439449288179365]","[None, 30.872235052799283]",[30.872235052799283],[9.439449288179365],"['ADX > 25', 'PLUS_DI cross_above None']",['MINUS_DI cross_above None'],21.788563111368926,9.439449288179365,30.872235052799283
