date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_AROONOSC,exit0_AROONOSC
2020-01-24,77.06426239013672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.57142857142857],[None],[78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],78.57142857142857,78.57142857142857
2020-01-27,74.79816436767578,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-01-28,76.91415405273438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-01-29,78.5241470336914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.57142857142858],[None],[78.57142857142858],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],78.57142857142858,78.57142857142858
2020-01-30,78.4103775024414,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-01-31,74.93376159667969,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[14.285714285714292],[None],[14.285714285714292],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],14.285714285714292,14.285714285714292
2020-02-03,74.72794342041016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[14.285714285714292],[None],[14.285714285714292],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],14.285714285714292,14.285714285714292
2020-02-04,77.19499969482422,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[-21.42857142857143],[None],[-21.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.42857142857143,-21.42857142857143
2020-02-05,77.82445526123047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.42857142857143],[None],[-21.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.42857142857143,-21.42857142857143
2020-02-06,78.73479461669922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.42857142857143],[None],[-21.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.42857142857143,-21.42857142857143
2020-02-07,77.6645736694336,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.428571428571423],[None],[-21.428571428571423],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.428571428571423,-21.428571428571423
2020-02-10,78.0334243774414,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.42857142857143],[None],[-21.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.42857142857143,-21.42857142857143
2020-02-11,77.56262969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.42857142857143],[None],[-21.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.42857142857143,-21.42857142857143
2020-02-12,79.40457916259766,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.42857142857143],[None],[-21.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.42857142857143,-21.42857142857143
2020-02-13,78.8391342163086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.428571428571427],[None],[-21.428571428571427],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.428571428571427,-21.428571428571427
2020-02-14,78.8585433959961,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.42857142857143],[None],[-21.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.42857142857143,-21.42857142857143
2020-02-18,77.41459655761719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.42857142857143],[None],[-21.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.42857142857143,-21.42857142857143
2020-02-19,78.5357894897461,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.42857142857143],[None],[-21.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.42857142857143,-21.42857142857143
2020-02-20,77.73008728027344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-21.42857142857143],[None],[-21.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-21.42857142857143,-21.42857142857143
2020-02-21,75.97065734863281,0,[True],[False],BUY. Shares: 44,Entry conditions met: True,{},"{'order_size': 44, 'order_price': None, 'order_valid': None, 'order_status': 1}",[50.00000000000001],[None],[50.00000000000001],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],50.00000000000001,50.00000000000001
2020-02-24,72.3620376586914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[50.0],[None],[50.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],50.0,50.0
2020-02-25,69.91097259521484,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[-50.0],[None],[-50.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-50.0,-50.0
2020-02-26,71.0199966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-57.14285714285714],[None],[-57.14285714285714],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-57.14285714285714,-57.14285714285714
2020-02-27,66.3775634765625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-57.142857142857146],[None],[-57.142857142857146],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-57.142857142857146,-57.142857142857146
2020-02-28,66.33873748779297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-71.42857142857143],[None],[-71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-71.42857142857143,-71.42857142857143
2020-03-02,72.514892578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-78.57142857142857],[None],[-78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-78.57142857142857,-78.57142857142857
2020-03-03,70.21188354492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-78.57142857142857],[None],[-78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-78.57142857142857,-78.57142857142857
2020-03-04,73.46864318847656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-78.57142857142858],[None],[-78.57142857142858],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-78.57142857142858,-78.57142857142858
