date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_ATR,entry1_MOMENTUM,exit0_MOMENTUM
2020-01-24,77.06426239013672,0,"[True, True]",[False],BUY. Shares: 43,"Entry conditions met: True, True",{},"{'order_size': 43, 'order_price': None, 'order_valid': None, 'order_status': 1}","[3.223011016845703, 4.570915222167969]","[None, None]",[4.570915222167969],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.223011016845703,4.570915222167969,4.570915222167969
2020-01-27,74.79816436767578,43,"[True, True]",[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 74.80 < 76.06'},"{'order_size': -43, 'order_price': None, 'order_valid': None, 'order_status': 1}","[3.2460460662841797, 5.055152893066406]","[None, None]",[5.055152893066406],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.2460460662841797,5.055152893066406,5.055152893066406
2020-01-28,76.91415405273438,0,"[True, True]",[False],BUY. Shares: 42,"Entry conditions met: True, True",{},"{'order_size': 42, 'order_price': None, 'order_valid': None, 'order_status': 1}","[3.1372210638863702, 2.2152633666992188]","[None, None]",[2.2152633666992188],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.1372210638863702,2.2152633666992188,2.2152633666992188
2020-01-29,78.5241470336914,42,"[True, True]",[False],HOLD,Holding position; exit conditions: False,{},{},"[3.256121995497723, 4.672599792480469]","[None, None]",[4.672599792480469],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.256121995497723,4.672599792480469,4.672599792480469
2020-01-30,78.4103775024414,42,"[True, True]",[False],HOLD,Holding position; exit conditions: False,{},{},"[3.384138101043924, 5.120491027832031]","[None, None]",[5.120491027832031],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.384138101043924,5.120491027832031,5.120491027832031
2020-01-31,74.93376159667969,42,"[True, True]",[False],HOLD,Holding position; exit conditions: False,{},{},"[3.320867668882305, 3.4475784301757812]","[None, None]",[3.4475784301757812],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.320867668882305,3.4475784301757812,3.4475784301757812
2020-02-03,74.72794342041016,42,"[True, False]",[True],SELL,Exit conditions met: True,{},"{'order_size': -42, 'order_price': None, 'order_valid': None, 'order_status': 1}","[3.340626837727486, -0.19850921630859375]","[None, None]",[-0.19850921630859375],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.340626837727486,-0.19850921630859375,-0.19850921630859375
2020-02-04,77.19499969482422,0,"[True, False]",[True],NO_TRADE,"Entry conditions not met: True, False",{},{},"[3.3476346323122415, -2.0094833374023438]","[None, None]",[-2.0094833374023438],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.3476346323122415,-2.0094833374023438,-2.0094833374023438
2020-02-05,77.82445526123047,0,"[True, True]",[False],BUY. Shares: 40,"Entry conditions met: True, True",{},"{'order_size': 40, 'order_price': None, 'order_valid': None, 'order_status': 1}","[3.47866503298274, 1.4937973022460938]","[None, None]",[1.4937973022460938],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.47866503298274,1.4937973022460938,1.4937973022460938
2020-02-06,78.73479461669922,40,"[True, True]",[False],HOLD,Holding position; exit conditions: False,{},{},"[3.5155462982398324, 2.4476547241210938]","[None, None]",[2.4476547241210938],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.5155462982398324,2.4476547241210938,2.4476547241210938
2020-02-07,77.6645736694336,40,"[True, True]",[False],HOLD,Holding position; exit conditions: False,{},{},"[3.513046208647367, 2.413787841796875]","[None, None]",[2.413787841796875],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.513046208647367,2.413787841796875,2.413787841796875
2020-02-10,78.0334243774414,40,"[True, True]",[False],HOLD,Holding position; exit conditions: False,{},{},"[3.4132003264169746, 0.498626708984375]","[None, None]",[0.498626708984375],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.4132003264169746,0.498626708984375,0.498626708984375
2020-02-11,77.56262969970703,40,"[True, True]",[False],HOLD,Holding position; exit conditions: False,{},{},"[3.363894823016376, 1.3904266357421875]","[None, None]",[1.3904266357421875],[None],"['ATR > 0', 'MOMENTUM > 0']",['MOMENTUM < 0'],3.363894823016376,1.3904266357421875,1.3904266357421875
