date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_BBANDS,exit0_BBANDS
2020-01-31,74.93376159667969,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.54542198181153],[71.59729367988396],[75.54542198181153],[74.93376159667969],['BBANDS cross_above None'],['BBANDS cross_below None'],75.54542198181153,75.54542198181153
2020-02-03,74.72794342041016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.6563060760498],[71.91300190615281],[75.6563060760498],[74.72794342041016],['BBANDS cross_above None'],['BBANDS cross_below None'],75.6563060760498,75.6563060760498
2020-02-04,77.19499969482422,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[75.7922477722168],[72.40840847398236],[75.7922477722168],[77.19499969482422],['BBANDS cross_above None'],['BBANDS cross_below None'],75.7922477722168,75.7922477722168
2020-02-05,77.82445526123047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.02285270690918],[72.92911465976961],[76.02285270690918],[77.82445526123047],['BBANDS cross_above None'],['BBANDS cross_below None'],76.02285270690918,76.02285270690918
2020-02-06,78.73479461669922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.301997756958],[73.64699530259634],[76.301997756958],[78.73479461669922],['BBANDS cross_above None'],['BBANDS cross_below None'],76.301997756958,76.301997756958
2020-02-07,77.6645736694336,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.5685546875],[74.06486725199468],[76.5685546875],[77.6645736694336],['BBANDS cross_above None'],['BBANDS cross_below None'],76.5685546875,76.5685546875
2020-02-10,78.0334243774414,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.70364341735839],[74.27053507255515],[76.70364341735839],[78.0334243774414],['BBANDS cross_above None'],['BBANDS cross_below None'],76.70364341735839,76.70364341735839
2020-02-11,77.56262969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.84870109558105],[74.46214072435389],[76.84870109558105],[77.56262969970703],['BBANDS cross_above None'],['BBANDS cross_below None'],76.84870109558105,76.84870109558105
2020-02-12,79.40457916259766,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.88996124267578],[74.48406780753312],[76.88996124267578],[79.40457916259766],['BBANDS cross_above None'],['BBANDS cross_below None'],76.88996124267578,76.88996124267578
2020-02-13,78.8391342163086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.07513008117675],[74.49962928285447],[77.07513008117675],[78.8391342163086],['BBANDS cross_above None'],['BBANDS cross_below None'],77.07513008117675,77.07513008117675
2020-02-14,78.8585433959961,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.24824676513671],[74.68723050458695],[77.24824676513671],[78.8585433959961],['BBANDS cross_above None'],['BBANDS cross_below None'],77.24824676513671,77.24824676513671
2020-02-18,77.41459655761719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.3751235961914],[74.7595797495431],[77.3751235961914],[77.41459655761719],['BBANDS cross_above None'],['BBANDS cross_below None'],77.3751235961914,77.3751235961914
2020-02-19,78.5357894897461,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.3875560760498],[74.77374430060321],[77.3875560760498],[78.5357894897461],['BBANDS cross_above None'],['BBANDS cross_below None'],77.3875560760498,77.3875560760498
2020-02-20,77.73008728027344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.48219566345215],[74.84610007275975],[77.48219566345215],[77.73008728027344],['BBANDS cross_above None'],['BBANDS cross_below None'],77.48219566345215,77.48219566345215
2020-02-21,75.97065734863281,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.52287063598632],[74.89785830152091],[77.52287063598632],[75.97065734863281],['BBANDS cross_above None'],['BBANDS cross_below None'],77.52287063598632,77.52287063598632
2020-02-24,72.3620376586914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.45705375671386],[74.74705226995316],[77.45705375671386],[72.3620376586914],['BBANDS cross_above None'],['BBANDS cross_below None'],77.45705375671386,77.45705375671386
2020-02-25,69.91097259521484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.2219425201416],[73.71709164167511],[77.2219425201416],[69.91097259521484],['BBANDS cross_above None'],['BBANDS cross_below None'],77.2219425201416,77.2219425201416
2020-02-26,71.0199966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.97758293151855],[72.33428137031883],[76.97758293151855],[71.0199966430664],['BBANDS cross_above None'],['BBANDS cross_below None'],76.97758293151855,76.97758293151855
2020-02-27,66.3775634765625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.68287506103516],[71.3621043739191],[76.68287506103516],[66.3775634765625],['BBANDS cross_above None'],['BBANDS cross_below None'],76.68287506103516,76.68287506103516
2020-02-28,66.33873748779297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.0755458831787],[69.19099516007907],[76.0755458831787],[66.33873748779297],['BBANDS cross_above None'],['BBANDS cross_below None'],76.0755458831787,76.0755458831787
2020-03-02,72.514892578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.47196388244629],[67.48381055767057],[75.47196388244629],[72.514892578125],['BBANDS cross_above None'],['BBANDS cross_below None'],75.47196388244629,75.47196388244629
2020-03-03,70.21188354492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.35102043151855],[67.26133526666044],[75.35102043151855],[70.21188354492188],['BBANDS cross_above None'],['BBANDS cross_below None'],75.35102043151855,75.35102043151855
2020-03-04,73.46864318847656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.12521743774414],[66.73215132969898],[75.12521743774414],[73.46864318847656],['BBANDS cross_above None'],['BBANDS cross_below None'],75.12521743774414,75.12521743774414
2020-03-05,71.08551788330078,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[74.93889961242675],[66.57249361604953],[74.93889961242675],[71.08551788330078],['BBANDS cross_above None'],['BBANDS cross_below None'],74.93889961242675,74.93889961242675
