date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_CCI,exit0_CCI
2020-02-11,77.56262969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[15.435656027355016],[None],[15.435656027355016],[None],['CCI < -100'],['CCI > 100'],15.435656027355016,15.435656027355016
2020-02-12,79.40457916259766,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[39.31139738554116],[None],[39.31139738554116],[None],['CCI < -100'],['CCI > 100'],39.31139738554116,39.31139738554116
2020-02-13,78.8391342163086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[96.65217296424547],[None],[96.65217296424547],[None],['CCI < -100'],['CCI > 100'],96.65217296424547,96.65217296424547
2020-02-14,78.8585433959961,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[87.40510280995835],[None],[87.40510280995835],[None],['CCI < -100'],['CCI > 100'],87.40510280995835,87.40510280995835
2020-02-18,77.41459655761719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[66.45354907717773],[None],[66.45354907717773],[None],['CCI < -100'],['CCI > 100'],66.45354907717773,66.45354907717773
2020-02-19,78.5357894897461,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-34.2310644864126],[None],[-34.2310644864126],[None],['CCI < -100'],['CCI > 100'],-34.2310644864126,-34.2310644864126
2020-02-20,77.73008728027344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[43.35485370658323],[None],[43.35485370658323],[None],['CCI < -100'],['CCI > 100'],43.35485370658323,43.35485370658323
2020-02-21,75.97065734863281,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[19.269193886871026],[None],[19.269193886871026],[None],['CCI < -100'],['CCI > 100'],19.269193886871026,19.269193886871026
2020-02-24,72.3620376586914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-90.37094541082615],[None],[-90.37094541082615],[None],['CCI < -100'],['CCI > 100'],-90.37094541082615,-90.37094541082615
2020-02-25,69.91097259521484,0,[True],[False],BUY. Shares: 48,Entry conditions met: True,{},"{'order_size': 48, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-295.8447410307564],[None],[-295.8447410307564],[None],['CCI < -100'],['CCI > 100'],-295.8447410307564,-295.8447410307564
2020-02-26,71.0199966430664,0,[True],[False],BUY. Shares: 47,Entry conditions met: True,{},"{'order_size': 47, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-250.84130438095693],[None],[-250.84130438095693],[None],['CCI < -100'],['CCI > 100'],-250.84130438095693,-250.84130438095693
2020-02-27,66.3775634765625,47,[True],[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 66.38 < 68.05'},"{'order_size': -47, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-192.12257258027785],[None],[-192.12257258027785],[None],['CCI < -100'],['CCI > 100'],-192.12257258027785,-192.12257258027785
2020-02-28,66.33873748779297,0,[True],[False],BUY. Shares: 50,Entry conditions met: True,{},"{'order_size': 50, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-229.39699738390365],[None],[-229.39699738390365],[None],['CCI < -100'],['CCI > 100'],-229.39699738390365,-229.39699738390365
2020-03-02,72.514892578125,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[-206.32234136606417],[None],[-206.32234136606417],[None],['CCI < -100'],['CCI > 100'],-206.32234136606417,-206.32234136606417
2020-03-03,70.21188354492188,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[-68.96133711083854],[None],[-68.96133711083854],[None],['CCI < -100'],['CCI > 100'],-68.96133711083854,-68.96133711083854
2020-03-04,73.46864318847656,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[-54.386789686300105],[None],[-54.386789686300105],[None],['CCI < -100'],['CCI > 100'],-54.386789686300105,-54.386789686300105
