date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_DEMA,exit0_DEMA
2020-02-28,66.33873748779297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[70.27807440762778],[73.16954137489621],[70.27807440762778],[73.16954137489621],['DEMA cross_above None'],['DEMA cross_below None'],70.27807440762778,70.27807440762778
2020-03-02,72.514892578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.54994896100351],[71.79491660527088],[68.54994896100351],[71.79491660527088],['DEMA cross_above None'],['DEMA cross_below None'],68.54994896100351,68.54994896100351
2020-03-03,70.21188354492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[69.36171091591154],[71.74055866631831],[69.36171091591154],[71.74055866631831],['DEMA cross_above None'],['DEMA cross_below None'],69.36171091591154,69.36171091591154
2020-03-04,73.46864318847656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[69.24803392143451],[71.28530559835707],[69.24803392143451],[71.28530559835707],['DEMA cross_above None'],['DEMA cross_below None'],69.24803392143451,69.24803392143451
2020-03-05,71.08551788330078,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[70.28041365435601],[71.49369726669408],[70.28041365435601],[71.49369726669408],['DEMA cross_above None'],['DEMA cross_below None'],70.28041365435601,70.28041365435601
2020-03-06,70.14152526855469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[70.28909683035675],[71.24988581894519],[70.28909683035675],[71.24988581894519],['DEMA cross_above None'],['DEMA cross_below None'],70.28909683035675,70.28909683035675
2020-03-09,64.59387969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[70.00917382934841],[70.87756651382134],[70.00917382934841],[70.87756651382134],['DEMA cross_above None'],['DEMA cross_below None'],70.00917382934841,70.00917382934841
2020-03-10,69.24603271484375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.99223019233392],[69.55973640126216],[67.99223019233392],[69.55973640126216],['DEMA cross_above None'],['DEMA cross_below None'],67.99223019233392,67.99223019233392
2020-03-11,66.8410873413086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.06760444057183],[69.2798546411054],[68.06760444057183],[69.2798546411054],['DEMA cross_above None'],['DEMA cross_below None'],68.06760444057183,68.06760444057183
2020-03-12,60.240211486816406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.36199462456318],[68.6141670379207],[67.36199462456318],[68.6141670379207],['DEMA cross_above None'],['DEMA cross_below None'],67.36199462456318,67.36199462456318
2020-03-13,67.4574966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[64.69031645589038],[66.85571893838441],[64.69031645589038],[66.85571893838441],['DEMA cross_above None'],['DEMA cross_below None'],64.69031645589038,64.69031645589038
2020-03-16,58.77928161621094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.14060616424747],[66.66551716686769],[65.14060616424747],[66.66551716686769],['DEMA cross_above None'],['DEMA cross_below None'],65.14060616424747,65.14060616424747
2020-03-17,61.36381912231445,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[62.64979977761921],[64.94272323543645],[62.64979977761921],[64.94272323543645],['DEMA cross_above None'],['DEMA cross_below None'],62.64979977761921,62.64979977761921
2020-03-18,59.86163330078125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[61.70884201135161],[63.9454003890979],[61.70884201135161],[63.9454003890979],['DEMA cross_above None'],['DEMA cross_below None'],61.70884201135161,61.70884201135161
2020-03-19,59.40297317504883,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[60.57094859411893],[62.833076719442545],[60.57094859411893],[62.833076719442545],['DEMA cross_above None'],['DEMA cross_below None'],60.57094859411893,60.57094859411893
2020-03-20,55.63174057006836,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[59.634146668511534],[61.812379602710536],[59.634146668511534],[61.812379602710536],['DEMA cross_above None'],['DEMA cross_below None'],59.634146668511534,59.634146668511534
2020-03-23,54.449893951416016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.752700766467996],[60.270865105546505],[57.752700766467996],[60.270865105546505],['DEMA cross_above None'],['DEMA cross_below None'],57.752700766467996,57.752700766467996
2020-03-24,59.91260528564453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[56.03241296814386],[58.752518254956215],[56.03241296814386],[58.752518254956215],['DEMA cross_above None'],['DEMA cross_below None'],56.03241296814386,56.03241296814386
2020-03-25,59.582557678222656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[56.634355659366804],[58.461550446477816],[56.634355659366804],[58.461550446477816],['DEMA cross_above None'],['DEMA cross_below None'],56.634355659366804,56.634355659366804
2020-03-26,62.71796798706055,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.03657427256757],[58.176654827208466],[57.03657427256757],[58.176654827208466],['DEMA cross_above None'],['DEMA cross_below None'],57.03657427256757,57.03657427256757
2020-03-27,60.121299743652344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[58.42649207128987],[58.5249748216639],[58.42649207128987],[58.5249748216639],['DEMA cross_above None'],['DEMA cross_below None'],58.42649207128987,58.42649207128987
2020-03-30,61.8370361328125,0,[True],[False],BUY. Shares: 49,Entry conditions met: True,{},"{'order_size': 49, 'order_price': None, 'order_valid': None, 'order_status': 1}",[58.640397159085424],[58.37708827106832],[58.640397159085424],[58.37708827106832],['DEMA cross_above None'],['DEMA cross_below None'],58.640397159085424,58.640397159085424
2020-03-31,61.710845947265625,49,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[59.399730861697925],[58.58309442131353],[59.399730861697925],[58.58309442131353],['DEMA cross_above None'],['DEMA cross_below None'],59.399730861697925,59.399730861697925
2020-04-01,58.46380615234375,49,[False],[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 58.46 < 59.55'},"{'order_size': -49, 'order_price': None, 'order_valid': None, 'order_status': 1}",[59.946901469749136],[58.75835240825404],[59.946901469749136],[58.75835240825404],['DEMA cross_above None'],['DEMA cross_below None'],59.946901469749136,59.946901469749136
2020-04-02,59.439369201660156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[59.29809986119822],[58.3395653875008],[59.29809986119822],[58.3395653875008],['DEMA cross_above None'],['DEMA cross_below None'],59.29809986119822,59.29809986119822
2020-04-03,58.58515167236328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[59.158698347517344],[58.174848590477595],[59.158698347517344],[58.174848590477595],['DEMA cross_above None'],['DEMA cross_below None'],59.158698347517344,59.158698347517344
