date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_EMA,exit0_EMA
2020-02-14,78.8585433959961,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.92229481051746],[76.19429117838541],[77.92229481051746],[76.19429117838541],['EMA cross_above None'],['EMA cross_below None'],77.92229481051746,77.92229481051746
2020-02-18,77.41459655761719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.09252182605903],[76.36617841823127],[78.09252182605903],[76.36617841823127],['EMA cross_above None'],['EMA cross_below None'],78.09252182605903,78.09252182605903
2020-02-19,78.5357894897461,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.96926268634232],[76.43381829819165],[77.96926268634232],[76.43381829819165],['EMA cross_above None'],['EMA cross_below None'],77.96926268634232,77.96926268634232
2020-02-20,77.73008728027344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.07226755968846],[76.56942934280806],[78.07226755968846],[76.56942934280806],['EMA cross_above None'],['EMA cross_below None'],78.07226755968846,78.07226755968846
2020-02-21,75.97065734863281,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.01005296343118],[76.6443105000639],[78.01005296343118],[76.6443105000639],['EMA cross_above None'],['EMA cross_below None'],78.01005296343118,78.01005296343118
2020-02-24,72.3620376586914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.63925376074056],[76.60084900642319],[77.63925376074056],[76.60084900642319],['EMA cross_above None'],['EMA cross_below None'],77.63925376074056,77.63925376074056
2020-02-25,69.91097259521484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.67975992400434],[76.32737730656953],[76.67975992400434],[76.32737730656953],['EMA cross_above None'],['EMA cross_below None'],76.67975992400434,76.67975992400434
2020-02-26,71.0199966430664,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[75.44907131876988],[75.9134157122886],[75.44907131876988],[75.9134157122886],['EMA cross_above None'],['EMA cross_below None'],75.44907131876988,75.44907131876988
2020-02-27,66.3775634765625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[74.64378501409652],[75.59771125620975],[74.64378501409652],[75.59771125620975],['EMA cross_above None'],['EMA cross_below None'],74.64378501409652,74.64378501409652
2020-02-28,66.33873748779297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.14083564363578],[75.00286301236154],[73.14083564363578],[75.00286301236154],['EMA cross_above None'],['EMA cross_below None'],73.14083564363578,73.14083564363578
2020-03-02,72.514892578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.90409052439163],[74.44388717206681],[71.90409052439163],[74.44388717206681],['EMA cross_above None'],['EMA cross_below None'],71.90409052439163,71.90409052439163
2020-03-03,70.21188354492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[72.01514544325224],[74.31943590794152],[72.01514544325224],[74.31943590794152],['EMA cross_above None'],['EMA cross_below None'],72.01514544325224,72.01514544325224
2020-03-04,73.46864318847656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.6872796435558],[74.0544325296822],[71.6872796435558],[74.0544325296822],['EMA cross_above None'],['EMA cross_below None'],71.6872796435558,71.6872796435558
2020-03-05,71.08551788330078,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[72.01116392445049],[74.01663966895926],[72.01116392445049],[74.01663966895926],['EMA cross_above None'],['EMA cross_below None'],72.01116392445049,72.01116392445049
2020-03-06,70.14152526855469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.84286464424144],[73.82753503762646],[71.84286464424144],[73.82753503762646],['EMA cross_above None'],['EMA cross_below None'],71.84286464424144,71.84286464424144
2020-03-09,64.59387969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.53353021229839],[73.58972795575086],[71.53353021229839],[73.58972795575086],['EMA cross_above None'],['EMA cross_below None'],71.53353021229839,71.53353021229839
2020-03-10,69.24603271484375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[70.27177557364541],[73.00935064890932],[70.27177557364541],[73.00935064890932],['EMA cross_above None'],['EMA cross_below None'],70.27177557364541,70.27177557364541
2020-03-11,66.8410873413086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[70.08527687204511],[72.76655594348574],[70.08527687204511],[72.76655594348574],['EMA cross_above None'],['EMA cross_below None'],70.08527687204511,70.08527687204511
2020-03-12,60.240211486816406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[69.49542423009302],[72.38426764657109],[69.49542423009302],[72.38426764657109],['EMA cross_above None'],['EMA cross_below None'],69.49542423009302,69.49542423009302
2020-03-13,67.4574966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.81265827677],[71.60078015239337],[67.81265827677],[71.60078015239337],['EMA cross_above None'],['EMA cross_below None'],67.81265827677,67.81265827677
2020-03-16,58.77928161621094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.74808343427843],[71.3334715388884],[67.74808343427843],[71.3334715388884],['EMA cross_above None'],['EMA cross_below None'],67.74808343427843,67.74808343427843
2020-03-17,61.36381912231445,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[66.11739219462979],[70.52352380194147],[66.11739219462979],[70.52352380194147],['EMA cross_above None'],['EMA cross_below None'],66.11739219462979,66.11739219462979
