date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_HMA,exit0_HMA
2020-03-24,59.91260528564453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[61.93317888442773],[59.91260528564453],[61.93317888442773],[59.91260528564453],['HMA cross_above None'],['HMA cross_below None'],61.93317888442773,61.93317888442773
2020-03-25,59.582557678222656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[60.763971063177856],[59.582557678222656],[60.763971063177856],[59.582557678222656],['HMA cross_above None'],['HMA cross_below None'],60.763971063177856,60.763971063177856
2020-03-26,62.71796798706055,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[59.73912178733282],[62.71796798706055],[59.73912178733282],[62.71796798706055],['HMA cross_above None'],['HMA cross_below None'],59.73912178733282,59.73912178733282
2020-03-27,60.121299743652344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[58.94348205031313],[60.121299743652344],[58.94348205031313],[60.121299743652344],['HMA cross_above None'],['HMA cross_below None'],58.94348205031313,58.94348205031313
2020-03-30,61.8370361328125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[58.29020981906792],[61.8370361328125],[58.29020981906792],[61.8370361328125],['HMA cross_above None'],['HMA cross_below None'],58.29020981906792,58.29020981906792
2020-03-31,61.710845947265625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.82179933929772],[61.710845947265625],[57.82179933929772],[61.710845947265625],['HMA cross_above None'],['HMA cross_below None'],57.82179933929772,57.82179933929772
2020-04-01,58.46380615234375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.51149567413166],[58.46380615234375],[57.51149567413166],[58.46380615234375],['HMA cross_above None'],['HMA cross_below None'],57.51149567413166,57.51149567413166
2020-04-02,59.439369201660156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.22654688129289],[59.439369201660156],[57.22654688129289],[59.439369201660156],['HMA cross_above None'],['HMA cross_below None'],57.22654688129289,57.22654688129289
2020-04-03,58.58515167236328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[56.97306644589293],[58.58515167236328],[56.97306644589293],[58.58515167236328],['HMA cross_above None'],['HMA cross_below None'],56.97306644589293,56.97306644589293
2020-04-06,63.695960998535156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[56.71713497828472],[63.695960998535156],[56.71713497828472],[63.695960998535156],['HMA cross_above None'],['HMA cross_below None'],56.71713497828472,56.71713497828472
2020-04-07,62.958213806152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[56.60132174262762],[62.958213806152344],[56.60132174262762],[62.958213806152344],['HMA cross_above None'],['HMA cross_below None'],56.60132174262762,56.60132174262762
2020-04-08,64.56962585449219,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[56.59769271480707],[64.56962585449219],[56.59769271480707],[64.56962585449219],['HMA cross_above None'],['HMA cross_below None'],56.59769271480707,56.59769271480707
2020-04-09,65.0355453491211,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[56.73728836304514],[65.0355453491211],[56.73728836304514],[65.0355453491211],['HMA cross_above None'],['HMA cross_below None'],56.73728836304514,56.73728836304514
2020-04-13,66.31205749511719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.02297502264126],[66.31205749511719],[57.02297502264126],[66.31205749511719],['HMA cross_above None'],['HMA cross_below None'],57.02297502264126,57.02297502264126
2020-04-14,69.6610107421875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.474114574752114],[69.6610107421875],[57.474114574752114],[69.6610107421875],['HMA cross_above None'],['HMA cross_below None'],57.474114574752114,57.474114574752114
2020-04-15,69.02518463134766,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[58.14821486997696],[69.02518463134766],[58.14821486997696],[69.02518463134766],['HMA cross_above None'],['HMA cross_below None'],58.14821486997696,58.14821486997696
2020-04-16,69.57365417480469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[58.96827184938917],[69.57365417480469],[58.96827184938917],[69.57365417480469],['HMA cross_above None'],['HMA cross_below None'],58.96827184938917,58.96827184938917
2020-04-17,68.62963104248047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[59.900674171110744],[68.62963104248047],[59.900674171110744],[68.62963104248047],['HMA cross_above None'],['HMA cross_below None'],59.900674171110744,59.900674171110744
2020-04-20,67.20510864257812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[60.884088697328664],[67.20510864257812],[60.884088697328664],[67.20510864257812],['HMA cross_above None'],['HMA cross_below None'],60.884088697328664,60.884088697328664
2020-04-21,65.12776947021484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[61.83762324483814],[65.12776947021484],[61.83762324483814],[65.12776947021484],['HMA cross_above None'],['HMA cross_below None'],61.83762324483814,61.83762324483814
2020-04-22,67.00371551513672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[62.69030762788936],[67.00371551513672],[62.69030762788936],[67.00371551513672],['HMA cross_above None'],['HMA cross_below None'],62.69030762788936,62.69030762788936
2020-04-23,66.74402618408203,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[63.48640022134812],[66.74402618408203],[63.48640022134812],[66.74402618408203],['HMA cross_above None'],['HMA cross_below None'],63.48640022134812,63.48640022134812
2020-04-24,68.67088317871094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[64.21058705503123],[68.67088317871094],[64.21058705503123],[68.67088317871094],['HMA cross_above None'],['HMA cross_below None'],64.21058705503123,64.21058705503123
2020-04-27,68.71939849853516,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[64.92517005688619],[68.71939849853516],[64.92517005688619],[68.71939849853516],['HMA cross_above None'],['HMA cross_below None'],64.92517005688619,64.92517005688619
2020-04-28,67.60552215576172,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.62503180122663],[67.60552215576172],[65.62503180122663],[67.60552215576172],['HMA cross_above None'],['HMA cross_below None'],65.62503180122663,65.62503180122663
2020-04-29,69.82601928710938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[66.27026048569452],[69.82601928710938],[66.27026048569452],[69.82601928710938],['HMA cross_above None'],['HMA cross_below None'],66.27026048569452,66.27026048569452
2020-04-30,71.29907989501953,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[66.91921391989132],[71.29907989501953],[66.91921391989132],[71.29907989501953],['HMA cross_above None'],['HMA cross_below None'],66.91921391989132,66.91921391989132
