date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_HEIKINASHI,exit0_HEIKINASHI
2020-01-06,72.58290100097656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.65946674346924],[72.58290100097656],[73.65946674346924],[72.58290100097656],['HEIKINASHI > None'],['HEIKINASHI < None'],73.65946674346924,73.65946674346924
2020-01-07,72.2415542602539,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.77555894851685],[72.2415542602539],[73.77555894851685],[72.2415542602539],['HEIKINASHI > None'],['HEIKINASHI < None'],73.77555894851685,73.77555894851685
2020-01-08,73.40365600585938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.6637670993805],[73.40365600585938],[73.6637670993805],[73.40365600585938],['HEIKINASHI > None'],['HEIKINASHI < None'],73.6637670993805,73.6637670993805
2020-01-09,74.96279907226562,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.93145287036896],[74.96279907226562],[73.93145287036896],[74.96279907226562],['HEIKINASHI > None'],['HEIKINASHI < None'],73.93145287036896,73.93145287036896
2020-01-10,75.13227081298828,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[74.22743374109268],[75.13227081298828],[74.22743374109268],[75.13227081298828],['HEIKINASHI > None'],['HEIKINASHI < None'],74.22743374109268,74.22743374109268
2020-01-13,76.7374267578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.35500410199165],[76.7374267578125],[75.35500410199165],[76.7374267578125],['HEIKINASHI > None'],['HEIKINASHI < None'],75.35500410199165,75.35500410199165
2020-01-14,75.70120239257812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.17903651297092],[75.70120239257812],[76.17903651297092],[75.70120239257812],['HEIKINASHI > None'],['HEIKINASHI < None'],76.17903651297092,76.17903651297092
2020-01-15,75.37680053710938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.05232209712267],[75.37680053710938],[77.05232209712267],[75.37680053710938],['HEIKINASHI > None'],['HEIKINASHI < None'],77.05232209712267,77.05232209712267
2020-01-16,76.32100677490234,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.56506237760186],[76.32100677490234],[77.56506237760186],[76.32100677490234],['HEIKINASHI > None'],['HEIKINASHI < None'],77.56506237760186,77.56506237760186
2020-01-17,77.16594696044922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.48275606520474],[77.16594696044922],[77.48275606520474],[77.16594696044922],['HEIKINASHI > None'],['HEIKINASHI < None'],77.48275606520474,77.48275606520474
