date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_ICHIMOKU,exit0_ICHIMOKU
2020-04-24,68.67088317871094,0,[True],[False],BUY. Shares: 49,Entry conditions met: True,{},"{'order_size': 49, 'order_price': None, 'order_valid': None, 'order_status': 1}",[69.20999908447266],[68.97312355041504],[69.20999908447266],[68.67088317871094],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],69.20999908447266,69.20999908447266
2020-04-27,68.71939849853516,49,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[69.20999908447266],[68.26749992370605],[69.20999908447266],[68.71939849853516],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],69.20999908447266,69.20999908447266
2020-04-28,67.60552215576172,49,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[69.20375061035156],[67.99374961853027],[69.20375061035156],[67.60552215576172],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],69.20375061035156,69.20375061035156
2020-04-29,69.82601928710938,49,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -49, 'order_price': None, 'order_valid': None, 'order_status': 1}",[69.20375061035156],[66.79125022888184],[69.20375061035156],[69.82601928710938],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],69.20375061035156,69.20375061035156
2020-04-30,71.29907989501953,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[69.38750076293945],[64.5262508392334],[69.38750076293945],[71.29907989501953],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],69.38750076293945,69.38750076293945
2020-05-01,70.15122985839844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[69.99499893188477],[64.36187553405762],[69.99499893188477],[70.15122985839844],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],69.99499893188477,69.99499893188477
2020-05-04,71.14378356933594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[70.55374908447266],[64.36187553405762],[70.55374908447266],[71.14378356933594],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],70.55374908447266,70.55374908447266
2020-05-05,72.21157836914062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.4000015258789],[63.05937385559082],[71.4000015258789],[72.21157836914062],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],71.4000015258789,71.4000015258789
2020-05-06,72.95658874511719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.98374938964844],[62.77187538146973],[71.98374938964844],[72.95658874511719],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],71.98374938964844,71.98374938964844
2020-05-07,73.71131896972656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[72.52999877929688],[61.7549991607666],[72.52999877929688],[73.71131896972656],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],72.52999877929688,72.52999877929688
