date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_MINUS_DI,exit0_MINUS_DI
2020-01-24,77.06426239013672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[4.449050268580079],[12.244542884635772],[4.449050268580079],[12.244542884635772],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],4.449050268580079,4.449050268580079
2020-01-27,74.79816436767578,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[4.101944127568148],[13.36319344729624],[4.101944127568148],[13.36319344729624],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],4.101944127568148,4.101944127568148
2020-01-28,76.91415405273438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[11.135785645591307],[12.839116172977224],[11.135785645591307],[12.839116172977224],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],11.135785645591307,11.135785645591307
2020-01-29,78.5241470336914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[9.962782137803273],[15.122700674466934],[9.962782137803273],[15.122700674466934],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],9.962782137803273,9.962782137803273
2020-01-30,78.4103775024414,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[8.901199616026295],[18.497808998406363],[8.901199616026295],[18.497808998406363],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.901199616026295,8.901199616026295
2020-01-31,74.93376159667969,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[9.837095121437224],[17.50379083262977],[9.837095121437224],[17.50379083262977],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],9.837095121437224,9.837095121437224
2020-02-03,74.72794342041016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[14.671749699916608],[16.157383596232783],[14.671749699916608],[16.157383596232783],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],14.671749699916608,14.671749699916608
2020-02-04,77.19499969482422,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[16.83314596312564],[14.971877535870105],[16.83314596312564],[14.971877535870105],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],16.83314596312564,16.83314596312564
2020-02-05,77.82445526123047,0,[True],[False],BUY. Shares: 43,Entry conditions met: True,{},"{'order_size': 43, 'order_price': None, 'order_valid': None, 'order_status': 1}",[15.042015999451896],[16.53580750627917],[15.042015999451896],[16.53580750627917],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],15.042015999451896,15.042015999451896
2020-02-06,78.73479461669922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[13.821053652412557],[17.794284573376462],[13.821053652412557],[17.794284573376462],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],13.821053652412557,13.821053652412557
2020-02-07,77.6645736694336,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[12.84296884397974],[16.768841134221788],[12.84296884397974],[16.768841134221788],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],12.84296884397974,12.84296884397974
2020-02-10,78.0334243774414,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[13.45686163197299],[16.026565053553476],[13.45686163197299],[16.026565053553476],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],13.45686163197299,13.45686163197299
2020-02-11,77.56262969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[14.881822219655458],[15.09993707022648],[14.881822219655458],[15.09993707022648],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],14.881822219655458,14.881822219655458
2020-02-12,79.40457916259766,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[13.943876796500895],[15.407027088560053],[13.943876796500895],[15.407027088560053],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],13.943876796500895,13.943876796500895
2020-02-13,78.8391342163086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[12.70062252286043],[15.777719602060293],[12.70062252286043],[15.777719602060293],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],12.70062252286043,12.70062252286043
2020-02-14,78.8585433959961,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[12.111152794978464],[15.045433600828144],[12.111152794978464],[15.045433600828144],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],12.111152794978464,12.111152794978464
2020-02-18,77.41459655761719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[11.680635142555168],[14.170662574102431],[11.680635142555168],[14.170662574102431],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],11.680635142555168,11.680635142555168
2020-02-19,78.5357894897461,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[16.051010601739364],[13.753984462615755],[16.051010601739364],[13.753984462615755],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],16.051010601739364,16.051010601739364
