date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_PLUS_DI,exit0_PLUS_DI
2020-01-24,77.06426239013672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[12.244542884635772],[4.449050268580079],[12.244542884635772],[4.449050268580079],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],12.244542884635772,12.244542884635772
2020-01-27,74.79816436767578,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[13.36319344729624],[4.101944127568148],[13.36319344729624],[4.101944127568148],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],13.36319344729624,13.36319344729624
2020-01-28,76.91415405273438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[12.839116172977224],[11.135785645591307],[12.839116172977224],[11.135785645591307],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],12.839116172977224,12.839116172977224
2020-01-29,78.5241470336914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[15.122700674466934],[9.962782137803273],[15.122700674466934],[9.962782137803273],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],15.122700674466934,15.122700674466934
2020-01-30,78.4103775024414,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[18.497808998406363],[8.901199616026295],[18.497808998406363],[8.901199616026295],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],18.497808998406363,18.497808998406363
2020-01-31,74.93376159667969,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[17.50379083262977],[9.837095121437224],[17.50379083262977],[9.837095121437224],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],17.50379083262977,17.50379083262977
2020-02-03,74.72794342041016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[16.157383596232783],[14.671749699916608],[16.157383596232783],[14.671749699916608],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],16.157383596232783,16.157383596232783
2020-02-04,77.19499969482422,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[14.971877535870105],[16.83314596312564],[14.971877535870105],[16.83314596312564],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],14.971877535870105,14.971877535870105
2020-02-05,77.82445526123047,0,[True],[False],BUY. Shares: 43,Entry conditions met: True,{},"{'order_size': 43, 'order_price': None, 'order_valid': None, 'order_status': 1}",[16.53580750627917],[15.042015999451896],[16.53580750627917],[15.042015999451896],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],16.53580750627917,16.53580750627917
2020-02-06,78.73479461669922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[17.794284573376462],[13.821053652412557],[17.794284573376462],[13.821053652412557],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],17.794284573376462,17.794284573376462
2020-02-07,77.6645736694336,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[16.768841134221788],[12.84296884397974],[16.768841134221788],[12.84296884397974],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],16.768841134221788,16.768841134221788
2020-02-10,78.0334243774414,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[16.026565053553476],[13.45686163197299],[16.026565053553476],[13.45686163197299],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],16.026565053553476,16.026565053553476
2020-02-11,77.56262969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[15.09993707022648],[14.881822219655458],[15.09993707022648],[14.881822219655458],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],15.09993707022648,15.09993707022648
2020-02-12,79.40457916259766,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[15.407027088560053],[13.943876796500895],[15.407027088560053],[13.943876796500895],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],15.407027088560053,15.407027088560053
2020-02-13,78.8391342163086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[15.777719602060293],[12.70062252286043],[15.777719602060293],[12.70062252286043],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],15.777719602060293,15.777719602060293
2020-02-14,78.8585433959961,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[15.045433600828144],[12.111152794978464],[15.045433600828144],[12.111152794978464],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],15.045433600828144,15.045433600828144
2020-02-18,77.41459655761719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[14.170662574102431],[11.680635142555168],[14.170662574102431],[11.680635142555168],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],14.170662574102431,14.170662574102431
2020-02-19,78.5357894897461,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[13.753984462615755],[16.051010601739364],[13.753984462615755],[16.051010601739364],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],13.753984462615755,13.753984462615755
2020-02-20,77.73008728027344,0,[True],[False],BUY. Shares: 43,Entry conditions met: True,{},"{'order_size': 43, 'order_price': None, 'order_valid': None, 'order_status': 1}",[15.316393100846774],[14.700528977863486],[15.316393100846774],[14.700528977863486],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],15.316393100846774,15.316393100846774
2020-02-21,75.97065734863281,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[14.397221180451153],[14.84072249737158],[14.397221180451153],[14.84072249737158],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],14.397221180451153,14.397221180451153
2020-02-24,72.3620376586914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[13.566880005156122],[18.453780587302617],[13.566880005156122],[18.453780587302617],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],13.566880005156122,13.566880005156122
2020-02-25,69.91097259521484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[12.408871094052362],[29.02255695213501],[12.408871094052362],[29.02255695213501],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],12.408871094052362,12.408871094052362
2020-02-26,71.0199966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[11.272215462213364],[28.09555572441316],[11.272215462213364],[28.09555572441316],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],11.272215462213364,11.272215462213364
2020-02-27,66.3775634765625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[10.15797926151129],[25.318365617293207],[10.15797926151129],[25.318365617293207],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],10.15797926151129,10.15797926151129
2020-02-28,66.33873748779297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[9.439449288179365],[30.872235052799283],[9.439449288179365],[30.872235052799283],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],9.439449288179365,9.439449288179365
2020-03-02,72.514892578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[8.362726231369479],[35.936773246871496],[8.362726231369479],[35.936773246871496],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],8.362726231369479,8.362726231369479
2020-03-03,70.21188354492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[17.64898093819488],[29.91935903982186],[17.64898093819488],[29.91935903982186],['PLUS_DI cross_above None'],['PLUS_DI cross_below None'],17.64898093819488,17.64898093819488
