date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_PPO,exit0_PPO
2020-02-21,75.97065734863281,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[1.22472100285527],[1.4328446644304316],[1.22472100285527],[1.4328446644304316],['PPO cross_above None'],['PPO cross_below None'],1.22472100285527,1.22472100285527
2020-02-24,72.3620376586914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[0.9342671424104408],[1.3331291600264334],[0.9342671424104408],[1.3331291600264334],['PPO cross_above None'],['PPO cross_below None'],0.9342671424104408,0.9342671424104408
2020-02-25,69.91097259521484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[0.32215651065070516],[1.130934630151288],[0.32215651065070516],[1.130934630151288],['PPO cross_above None'],['PPO cross_below None'],0.32215651065070516,0.32215651065070516
2020-02-26,71.0199966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-0.42241876667060324],[0.8202639507869097],[-0.42241876667060324],[0.8202639507869097],['PPO cross_above None'],['PPO cross_below None'],-0.42241876667060324,-0.42241876667060324
2020-02-27,66.3775634765625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-0.8906574681690301],[0.47807966699572174],[-0.8906574681690301],[0.47807966699572174],['PPO cross_above None'],['PPO cross_below None'],-0.8906574681690301,-0.8906574681690301
2020-02-28,66.33873748779297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-1.7509709161475917],[0.032269550367059086],[-1.7509709161475917],[0.032269550367059086],['PPO cross_above None'],['PPO cross_below None'],-1.7509709161475917,-1.7509709161475917
2020-03-02,72.514892578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.423493728412805],[-0.45888310538891375],[-2.423493728412805],[-0.45888310538891375],['PPO cross_above None'],['PPO cross_below None'],-2.423493728412805,-2.423493728412805
2020-03-03,70.21188354492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.2524941357786274],[-0.8176053114668566],[-2.2524941357786274],[-0.8176053114668566],['PPO cross_above None'],['PPO cross_below None'],-2.2524941357786274,-2.2524941357786274
2020-03-04,73.46864318847656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.346271274474546],[-1.1233385040683945],[-2.346271274474546],[-1.1233385040683945],['PPO cross_above None'],['PPO cross_below None'],-2.346271274474546,-2.346271274474546
2020-03-05,71.08551788330078,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.0354059923992796],[-1.3057520017345716],[-2.0354059923992796],[-1.3057520017345716],['PPO cross_above None'],['PPO cross_below None'],-2.0354059923992796,-2.0354059923992796
2020-03-06,70.14152526855469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.030807701787013],[-1.45076314174506],[-2.030807701787013],[-1.45076314174506],['PPO cross_above None'],['PPO cross_below None'],-2.030807701787013,-2.030807701787013
2020-03-09,64.59387969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.1092747853705163],[-1.5824654704701513],[-2.1092747853705163],[-1.5824654704701513],['PPO cross_above None'],['PPO cross_below None'],-2.1092747853705163,-2.1092747853705163
2020-03-10,69.24603271484375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.7684407288617243],[-1.819660522148466],[-2.7684407288617243],[-1.819660522148466],['PPO cross_above None'],['PPO cross_below None'],-2.7684407288617243,-2.7684407288617243
2020-03-11,66.8410873413086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.7382943063102028],[-2.0033872789808136],[-2.7382943063102028],[-2.0033872789808136],['PPO cross_above None'],['PPO cross_below None'],-2.7382943063102028,-2.7382943063102028
2020-03-12,60.240211486816406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.9573793962978288],[-2.1941857024442166],[-2.9573793962978288],[-2.1941857024442166],['PPO cross_above None'],['PPO cross_below None'],-2.9573793962978288,-2.9573793962978288
2020-03-13,67.4574966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-3.8602930431215103],[-2.5274071705796755],[-3.8602930431215103],[-2.5274071705796755],['PPO cross_above None'],['PPO cross_below None'],-3.8602930431215103,-3.8602930431215103
2020-03-16,58.77928161621094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-3.701081158033739],[-2.7621419680704884],[-3.701081158033739],[-2.7621419680704884],['PPO cross_above None'],['PPO cross_below None'],-3.701081158033739,-3.701081158033739
2020-03-17,61.36381912231445,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-4.556125638828533],[-3.120938702222097],[-4.556125638828533],[-3.120938702222097],['PPO cross_above None'],['PPO cross_below None'],-4.556125638828533,-4.556125638828533
2020-03-18,59.86163330078125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-4.887238315209157],[-3.4741986248195094],[-4.887238315209157],[-3.4741986248195094],['PPO cross_above None'],['PPO cross_below None'],-4.887238315209157,-4.887238315209157
2020-03-19,59.40297317504883,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-5.2843770510134185],[-3.836234310058291],[-5.2843770510134185],[-3.836234310058291],['PPO cross_above None'],['PPO cross_below None'],-5.2843770510134185,-5.2843770510134185
2020-03-20,55.63174057006836,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-5.605333847191168],[-4.1900542174848665],[-5.605333847191168],[-4.1900542174848665],['PPO cross_above None'],['PPO cross_below None'],-5.605333847191168,-5.605333847191168
2020-03-23,54.449893951416016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-6.278060398261261],[-4.607655453640145],[-6.278060398261261],[-4.607655453640145],['PPO cross_above None'],['PPO cross_below None'],-6.278060398261261,-6.278060398261261
2020-03-24,59.91260528564453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-6.910547737181314],[-5.068233910348379],[-6.910547737181314],[-5.068233910348379],['PPO cross_above None'],['PPO cross_below None'],-6.910547737181314,-6.910547737181314
2020-03-25,59.582557678222656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-6.645318502219135],[-5.383650828722531],[-6.645318502219135],[-5.383650828722531],['PPO cross_above None'],['PPO cross_below None'],-6.645318502219135,-6.645318502219135
2020-03-26,62.71796798706055,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-6.407904746194496],[-5.588501612216924],[-6.407904746194496],[-5.588501612216924],['PPO cross_above None'],['PPO cross_below None'],-6.407904746194496,-6.407904746194496
2020-03-27,60.121299743652344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-5.745766444358046],[-5.619954578645149],[-5.745766444358046],[-5.619954578645149],['PPO cross_above None'],['PPO cross_below None'],-5.745766444358046,-5.745766444358046
2020-03-30,61.8370361328125,0,[True],[False],BUY. Shares: 54,Entry conditions met: True,{},"{'order_size': 54, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-5.496429661087937],[-5.595249595133707],[-5.496429661087937],[-5.595249595133707],['PPO cross_above None'],['PPO cross_below None'],-5.496429661087937,-5.496429661087937
2020-03-31,61.710845947265625,54,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[-5.017789888505375],[-5.47975765380804],[-5.017789888505375],[-5.47975765380804],['PPO cross_above None'],['PPO cross_below None'],-5.017789888505375,-5.017789888505375
2020-04-01,58.46380615234375,54,[False],[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 58.46 < 59.55'},"{'order_size': -54, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-4.601737486878519],[-5.304153620422136],[-4.601737486878519],[-5.304153620422136],['PPO cross_above None'],['PPO cross_below None'],-4.601737486878519,-4.601737486878519
2020-04-02,59.439369201660156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-4.644942965278923],[-5.172311489393493],[-4.644942965278923],[-5.172311489393493],['PPO cross_above None'],['PPO cross_below None'],-4.644942965278923,-4.644942965278923
2020-04-03,58.58515167236328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-4.502645880806082],[-5.038378367676012],[-4.502645880806082],[-5.038378367676012],['PPO cross_above None'],['PPO cross_below None'],-4.502645880806082,-4.502645880806082
2020-04-06,63.695960998535156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-4.45406631976391],[-4.921515958093591],[-4.45406631976391],[-4.921515958093591],['PPO cross_above None'],['PPO cross_below None'],-4.45406631976391,-4.45406631976391
2020-04-07,62.958213806152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-3.696820338564398],[-4.676576834187753],[-3.696820338564398],[-4.676576834187753],['PPO cross_above None'],['PPO cross_below None'],-3.696820338564398,-3.696820338564398
2020-04-08,64.56962585449219,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-3.1576447000013643],[-4.372790407350475],[-3.1576447000013643],[-4.372790407350475],['PPO cross_above None'],['PPO cross_below None'],-3.1576447000013643,-3.1576447000013643
2020-04-09,65.0355453491211,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.4908696378331423],[-3.9964062534470086],[-2.4908696378331423],[-3.9964062534470086],['PPO cross_above None'],['PPO cross_below None'],-2.4908696378331423,-2.4908696378331423
2020-04-13,66.31205749511719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-1.8815136986496195],[-3.573427742487531],[-1.8815136986496195],[-3.573427742487531],['PPO cross_above None'],['PPO cross_below None'],-1.8815136986496195,-1.8815136986496195
2020-04-14,69.6610107421875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-1.2219161441656128],[-3.103125422823148],[-1.2219161441656128],[-3.103125422823148],['PPO cross_above None'],['PPO cross_below None'],-1.2219161441656128,-1.2219161441656128
2020-04-15,69.02518463134766,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-0.27434659306379117],[-2.5373696568712765],[-0.27434659306379117],[-2.5373696568712765],['PPO cross_above None'],['PPO cross_below None'],-0.27434659306379117,-0.27434659306379117
2020-04-16,69.57365417480469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[0.3831229794668686],[-1.9532711296036476],[0.3831229794668686],[-1.9532711296036476],['PPO cross_above None'],['PPO cross_below None'],0.3831229794668686,0.3831229794668686
2020-04-17,68.62963104248047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[0.9549037278710998],[-1.3716361581086982],[0.9549037278710998],[-1.3716361581086982],['PPO cross_above None'],['PPO cross_below None'],0.9549037278710998,0.9549037278710998
2020-04-20,67.20510864257812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[1.2720264986816898],[-0.8429036267506207],[1.2720264986816898],[-0.8429036267506207],['PPO cross_above None'],['PPO cross_below None'],1.2720264986816898,1.2720264986816898
2020-04-21,65.12776947021484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[1.3314765081700013],[-0.4080275997664963],[1.3314765081700013],[-0.4080275997664963],['PPO cross_above None'],['PPO cross_below None'],1.3314765081700013,1.3314765081700013
2020-04-22,67.00371551513672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[1.111468601970863],[-0.10412835941902443],[1.111468601970863],[-0.10412835941902443],['PPO cross_above None'],['PPO cross_below None'],1.111468601970863,1.111468601970863
2020-04-23,66.74402618408203,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[1.1533459654356562],[0.1473665055519117],[1.1533459654356562],[0.1473665055519117],['PPO cross_above None'],['PPO cross_below None'],1.1533459654356562,1.1533459654356562
2020-04-24,68.67088317871094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[1.1412890811451266],[0.3461510206705547],[1.1412890811451266],[0.3461510206705547],['PPO cross_above None'],['PPO cross_below None'],1.1412890811451266,1.1412890811451266
2020-04-27,68.71939849853516,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[1.3501146477909218],[0.5469437460946281],[1.3501146477909218],[0.5469437460946281],['PPO cross_above None'],['PPO cross_below None'],1.3501146477909218,1.3501146477909218
2020-04-28,67.60552215576172,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[1.502356167578398],[0.7380262303913822],[1.502356167578398],[0.7380262303913822],['PPO cross_above None'],['PPO cross_below None'],1.502356167578398,1.502356167578398
