date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_SAR,exit0_SAR
2020-01-06,72.58290100097656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.1500015258789],[72.58290100097656],[75.1500015258789],[72.58290100097656],['SAR cross_above None'],['SAR cross_below None'],75.1500015258789,75.1500015258789
2020-01-07,72.2415542602539,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.1500015258789],[72.2415542602539],[75.1500015258789],[72.2415542602539],['SAR cross_above None'],['SAR cross_below None'],75.1500015258789,75.1500015258789
2020-01-08,73.40365600585938,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[73.1875],[73.40365600585938],[73.1875],[73.40365600585938],['SAR cross_above None'],['SAR cross_below None'],73.1875,73.1875
2020-01-09,74.96279907226562,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.1875],[74.96279907226562],[73.1875],[74.96279907226562],['SAR cross_above None'],['SAR cross_below None'],73.1875,73.1875
2020-01-10,75.13227081298828,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.30440002441406],[75.13227081298828],[73.30440002441406],[75.13227081298828],['SAR cross_above None'],['SAR cross_below None'],73.30440002441406,73.30440002441406
2020-01-13,76.7374267578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.56258591308594],[76.7374267578125],[73.56258591308594],[76.7374267578125],['SAR cross_above None'],['SAR cross_below None'],73.56258591308594,73.56258591308594
2020-01-14,75.70120239257812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.93097930859375],[75.70120239257812],[73.93097930859375],[75.70120239257812],['SAR cross_above None'],['SAR cross_below None'],73.93097930859375,73.93097930859375
2020-01-15,75.37680053710938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[74.46463156083985],[75.37680053710938],[74.46463156083985],[75.37680053710938],['SAR cross_above None'],['SAR cross_below None'],74.46463156083985,74.46463156083985
2020-01-16,76.32100677490234,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.05597599326563],[76.32100677490234],[75.05597599326563],[76.32100677490234],['SAR cross_above None'],['SAR cross_below None'],75.05597599326563,75.05597599326563
2020-01-17,77.16594696044922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.57635909380032],[77.16594696044922],[75.57635909380032],[77.16594696044922],['SAR cross_above None'],['SAR cross_below None'],75.57635909380032,75.57635909380032
