date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_SMA,exit0_SMA
2020-03-16,58.77928161621094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[72.23131816556992],[74.12297775268554],[72.23131816556992],[74.12297775268554],['SMA cross_above None'],['SMA cross_below None'],72.23131816556992,72.23131816556992
2020-03-17,61.36381912231445,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.55871633810197],[73.81610382995605],[71.55871633810197],[73.81610382995605],['SMA cross_above None'],['SMA cross_below None'],71.55871633810197,71.55871633810197
2020-03-18,59.86163330078125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.0489714773126],[73.56705813580322],[71.0489714773126],[73.56705813580322],['SMA cross_above None'],['SMA cross_below None'],71.0489714773126,71.0489714773126
2020-03-19,59.40297317504883,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[70.48960456848603],[73.29294963910277],[70.48960456848603],[73.29294963910277],['SMA cross_above None'],['SMA cross_below None'],70.48960456848603,70.48960456848603
2020-03-20,55.63174057006836,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[69.93527299881416],[73.01515010982169],[69.93527299881416],[73.01515010982169],['SMA cross_above None'],['SMA cross_below None'],69.93527299881416,69.93527299881416
2020-03-23,54.449893951416016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[69.22009637737686],[72.66748191902661],[69.22009637737686],[72.66748191902661],['SMA cross_above None'],['SMA cross_below None'],69.22009637737686,69.22009637737686
2020-03-24,59.91260528564453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.48158625607881],[72.30313015967441],[68.48158625607881],[72.30313015967441],['SMA cross_above None'],['SMA cross_below None'],68.48158625607881,68.48158625607881
2020-03-25,59.582557678222656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.0531372075571],[72.05531966219381],[68.0531372075571],[72.05531966219381],['SMA cross_above None'],['SMA cross_below None'],68.0531372075571,68.0531372075571
2020-03-26,62.71796798706055,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.62960823109037],[71.80586442251439],[67.62960823109037],[71.80586442251439],['SMA cross_above None'],['SMA cross_below None'],67.62960823109037,67.62960823109037
2020-03-27,60.121299743652344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.38402621888888],[71.62410649380531],[67.38402621888888],[71.62410649380531],['SMA cross_above None'],['SMA cross_below None'],67.38402621888888,67.38402621888888
2020-03-30,61.8370361328125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.02088989512704],[71.39405035880226],[67.02088989512704],[71.39405035880226],['SMA cross_above None'],['SMA cross_below None'],67.02088989512704,67.02088989512704
2020-03-31,61.710845947265625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[66.76169720701131],[71.20291007428247],[66.76169720701131],[71.20291007428247],['SMA cross_above None'],['SMA cross_below None'],66.76169720701131,66.76169720701131
2020-04-01,58.46380615234375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[66.50915464402402],[71.01306879174213],[66.50915464402402],[71.01306879174213],['SMA cross_above None'],['SMA cross_below None'],66.50915464402402,66.50915464402402
2020-04-02,59.439369201660156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[66.10688721944001],[70.76208353895416],[66.10688721944001],[70.76208353895416],['SMA cross_above None'],['SMA cross_below None'],66.10688721944001,66.10688721944001
2020-04-03,58.58515167236328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.77351131855102],[70.53562925220828],[65.77351131855102],[70.53562925220828],['SMA cross_above None'],['SMA cross_below None'],65.77351131855102,65.77351131855102
2020-04-06,63.695960998535156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.41409333624162],[70.29661970061139],[65.41409333624162],[70.29661970061139],['SMA cross_above None'],['SMA cross_below None'],65.41409333624162,65.41409333624162
2020-04-07,62.958213806152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.3281867193563],[70.16460652656987],[65.3281867193563],[70.16460652656987],['SMA cross_above None'],['SMA cross_below None'],65.3281867193563,65.3281867193563
2020-04-08,64.56962585449219,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.2096880736961],[70.02047867216152],[65.2096880736961],[70.02047867216152],['SMA cross_above None'],['SMA cross_below None'],65.2096880736961,65.2096880736961
2020-04-09,65.0355453491211,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.1776849627359],[69.91146161580814],[65.1776849627359],[69.91146161580814],['SMA cross_above None'],['SMA cross_below None'],65.1776849627359,65.1776849627359
