date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_SMMA,exit0_SMMA
2020-02-14,78.8585433959961,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.22014655283267],[76.19429117838541],[77.22014655283267],[76.19429117838541],['SMMA cross_above None'],['SMMA cross_below None'],77.22014655283267,77.22014655283267
2020-02-18,77.41459655761719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.38398623714902],[76.28309958563909],[77.38398623714902],[76.28309958563909],['SMMA cross_above None'],['SMMA cross_below None'],77.38398623714902,77.38398623714902
2020-02-19,78.5357894897461,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.38704726919583],[76.3208161513717],[77.38704726919583],[76.3208161513717],['SMMA cross_above None'],['SMMA cross_below None'],77.38704726919583,77.38704726919583
2020-02-20,77.73008728027344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.50192149125087],[76.39464859598418],[77.50192149125087],[76.39464859598418],['SMMA cross_above None'],['SMMA cross_below None'],77.50192149125087,77.50192149125087
2020-02-21,75.97065734863281,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.52473807015313],[76.43916321879382],[77.52473807015313],[76.43916321879382],['SMMA cross_above None'],['SMMA cross_below None'],77.52473807015313,77.52473807015313
2020-02-24,72.3620376586914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.3693299980011],[76.42354635645513],[77.3693299980011],[76.42354635645513],['SMMA cross_above None'],['SMMA cross_below None'],77.3693299980011,77.3693299980011
2020-02-25,69.91097259521484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.86860076407014],[76.28816273319634],[76.86860076407014],[76.28816273319634],['SMMA cross_above None'],['SMMA cross_below None'],76.86860076407014,76.86860076407014
2020-02-26,71.0199966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.1728379471846],[76.07558972859695],[76.1728379471846],[76.07558972859695],['SMMA cross_above None'],['SMMA cross_below None'],76.1728379471846,76.1728379471846
2020-02-27,66.3775634765625,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[75.65755381677279],[75.90706995907927],[75.65755381677279],[75.90706995907927],['SMMA cross_above None'],['SMMA cross_below None'],75.65755381677279,75.65755381677279
2020-02-28,66.33873748779297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[74.72955478275176],[75.58941974299537],[74.72955478275176],[75.58941974299537],['SMMA cross_above None'],['SMMA cross_below None'],74.72955478275176,74.72955478275176
2020-03-02,72.514892578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.89047305325589],[75.28106366782197],[73.89047305325589],[75.28106366782197],['SMMA cross_above None'],['SMMA cross_below None'],73.89047305325589,73.89047305325589
2020-03-03,70.21188354492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.75291500574279],[75.18885796483207],[73.75291500574279],[75.18885796483207],['SMMA cross_above None'],['SMMA cross_below None'],73.75291500574279,73.75291500574279
2020-03-04,73.46864318847656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.3988118596607],[75.02295881750173],[73.3988118596607],[75.02295881750173],['SMMA cross_above None'],['SMMA cross_below None'],73.3988118596607,73.3988118596607
2020-03-05,71.08551788330078,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.40579499254228],[74.97114829653422],[73.40579499254228],[74.97114829653422],['SMMA cross_above None'],['SMMA cross_below None'],73.40579499254228,73.40579499254228
2020-03-06,70.14152526855469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.17376728161813],[74.84162728275977],[73.17376728161813],[74.84162728275977],['SMMA cross_above None'],['SMMA cross_below None'],73.17376728161813,73.17376728161813
