date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_STOCH,exit0_STOCH
2020-01-29,78.5241470336914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[32.862092468450705],[nan],[32.862092468450705],[78.5241470336914],['STOCH cross_above None'],['STOCH cross_below None'],32.862092468450705,32.862092468450705
2020-01-30,78.4103775024414,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[29.33363804296558],[nan],[29.33363804296558],[78.4103775024414],['STOCH cross_above None'],['STOCH cross_below None'],29.33363804296558,29.33363804296558
2020-01-31,74.93376159667969,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[39.45901512148857],[nan],[39.45901512148857],[74.93376159667969],['STOCH cross_above None'],['STOCH cross_below None'],39.45901512148857,39.45901512148857
2020-02-03,74.72794342041016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[18.623028879432322],[nan],[18.623028879432322],[74.72794342041016],['STOCH cross_above None'],['STOCH cross_below None'],18.623028879432322,18.623028879432322
2020-02-04,77.19499969482422,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[0.9456720750375945],[nan],[0.9456720750375945],[77.19499969482422],['STOCH cross_above None'],['STOCH cross_below None'],0.9456720750375945,0.9456720750375945
2020-02-05,77.82445526123047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-3.2370809725463054],[nan],[-3.2370809725463054],[77.82445526123047],['STOCH cross_above None'],['STOCH cross_below None'],-3.2370809725463054,-3.2370809725463054
2020-02-06,78.73479461669922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[16.035358947614082],[nan],[16.035358947614082],[78.73479461669922],['STOCH cross_above None'],['STOCH cross_below None'],16.035358947614082,16.035358947614082
2020-02-07,77.6645736694336,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[36.87994437062121],[nan],[36.87994437062121],[77.6645736694336],['STOCH cross_above None'],['STOCH cross_below None'],36.87994437062121,36.87994437062121
2020-02-10,78.0334243774414,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[39.322778992289045],[nan],[39.322778992289045],[78.0334243774414],['STOCH cross_above None'],['STOCH cross_below None'],39.322778992289045,39.322778992289045
2020-02-11,77.56262969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[40.40988564542939],[nan],[40.40988564542939],[77.56262969970703],['STOCH cross_above None'],['STOCH cross_below None'],40.40988564542939,40.40988564542939
2020-02-12,79.40457916259766,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[34.312007150534306],[nan],[34.312007150534306],[79.40457916259766],['STOCH cross_above None'],['STOCH cross_below None'],34.312007150534306,34.312007150534306
2020-02-13,78.8391342163086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[43.36392631647465],[nan],[43.36392631647465],[78.8391342163086],['STOCH cross_above None'],['STOCH cross_below None'],43.36392631647465,43.36392631647465
2020-02-14,78.8585433959961,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[47.55541902226287],[nan],[47.55541902226287],[78.8585433959961],['STOCH cross_above None'],['STOCH cross_below None'],47.55541902226287,47.55541902226287
2020-02-18,77.41459655761719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[54.297067868159644],[nan],[54.297067868159644],[77.41459655761719],['STOCH cross_above None'],['STOCH cross_below None'],54.297067868159644,54.297067868159644
2020-02-19,78.5357894897461,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[43.94470877924948],[nan],[43.94470877924948],[78.5357894897461],['STOCH cross_above None'],['STOCH cross_below None'],43.94470877924948,43.94470877924948
2020-02-20,77.73008728027344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[42.75741153151471],[nan],[42.75741153151471],[77.73008728027344],['STOCH cross_above None'],['STOCH cross_below None'],42.75741153151471,42.75741153151471
2020-02-21,75.97065734863281,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[37.17206470052493],[nan],[37.17206470052493],[75.97065734863281],['STOCH cross_above None'],['STOCH cross_below None'],37.17206470052493,37.17206470052493
2020-02-24,72.3620376586914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[29.71484375],[nan],[29.71484375],[72.3620376586914],['STOCH cross_above None'],['STOCH cross_below None'],29.71484375,29.71484375
2020-02-25,69.91097259521484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[14.008702418965358],[nan],[14.008702418965358],[69.91097259521484],['STOCH cross_above None'],['STOCH cross_below None'],14.008702418965358,14.008702418965358
2020-02-26,71.0199966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-2.853475636607239],[nan],[-2.853475636607239],[71.0199966430664],['STOCH cross_above None'],['STOCH cross_below None'],-2.853475636607239,-2.853475636607239
2020-02-27,66.3775634765625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-6.733344347369662],[nan],[-6.733344347369662],[66.3775634765625],['STOCH cross_above None'],['STOCH cross_below None'],-6.733344347369662,-6.733344347369662
2020-02-28,66.33873748779297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-11.501312607686883],[nan],[-11.501312607686883],[66.33873748779297],['STOCH cross_above None'],['STOCH cross_below None'],-11.501312607686883,-11.501312607686883
