date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_TEMA,exit0_TEMA
2020-03-26,62.71796798706055,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.2426749723294],[56.937069798991104],[57.2426749723294],[56.937069798991104],['TEMA cross_above None'],['TEMA cross_below None'],57.2426749723294,57.2426749723294
2020-03-27,60.121299743652344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[59.37538826487149],[57.80277819283833],[59.37538826487149],[57.80277819283833],['TEMA cross_above None'],['TEMA cross_below None'],59.37538826487149,59.37538826487149
2020-03-30,61.8370361328125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[59.68602178739165],[57.889787651900804],[59.68602178739165],[57.889787651900804],['TEMA cross_above None'],['TEMA cross_below None'],59.68602178739165,59.68602178739165
2020-03-31,61.710845947265625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[60.69838833415113],[58.452102595542854],[60.69838833415113],[58.452102595542854],['TEMA cross_above None'],['TEMA cross_below None'],60.69838833415113,60.69838833415113
2020-04-01,58.46380615234375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[61.33015657948657],[58.92102585531971],[61.33015657948657],[58.92102585531971],['TEMA cross_above None'],['TEMA cross_below None'],61.33015657948657,61.33015657948657
2020-04-02,59.439369201660156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[60.278164276646194],[58.49857857911668],[60.278164276646194],[58.49857857911668],['TEMA cross_above None'],['TEMA cross_below None'],60.278164276646194,60.278164276646194
2020-04-03,58.58515167236328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[60.01160029727346],[58.43914820300459],[60.01160029727346],[58.43914820300459],['TEMA cross_above None'],['TEMA cross_below None'],60.01160029727346,60.01160029727346
2020-04-06,63.695960998535156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[59.45244294903953],[58.20123388177694],[59.45244294903953],[58.20123388177694],['TEMA cross_above None'],['TEMA cross_below None'],59.45244294903953,59.45244294903953
2020-04-07,62.958213806152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[61.40003262550561],[59.362887308363696],[61.40003262550561],[59.362887308363696],['TEMA cross_above None'],['TEMA cross_below None'],61.40003262550561,61.40003262550561
2020-04-08,64.56962585449219,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[62.3648187431335],[60.14856274191655],[62.3648187431335],[60.14856274191655],['TEMA cross_above None'],['TEMA cross_below None'],62.3648187431335,62.3648187431335
2020-04-09,65.0355453491211,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[63.709006337143855],[61.228676887356954],[63.709006337143855],[61.228676887356954],['TEMA cross_above None'],['TEMA cross_below None'],63.709006337143855,63.709006337143855
2020-04-13,66.31205749511719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[64.77136083708189],[62.24618396095241],[64.77136083708189],[62.24618396095241],['TEMA cross_above None'],['TEMA cross_below None'],64.77136083708189,64.77136083708189
2020-04-14,69.6610107421875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.99558420706104],[63.415916697572186],[65.99558420706104],[63.415916697572186],['TEMA cross_above None'],['TEMA cross_below None'],65.99558420706104,65.99558420706104
2020-04-15,69.02518463134766,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.25227131365116],[65.24113895092424],[68.25227131365116],[65.24113895092424],['TEMA cross_above None'],['TEMA cross_below None'],68.25227131365116,68.25227131365116
2020-04-16,69.57365417480469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[69.37582669841663],[66.56096460201026],[69.37582669841663],[66.56096460201026],['TEMA cross_above None'],['TEMA cross_below None'],69.37582669841663,69.37582669841663
2020-04-17,68.62963104248047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[70.25896102281382],[67.7659368691311],[70.25896102281382],[67.7659368691311],['TEMA cross_above None'],['TEMA cross_below None'],70.25896102281382,70.25896102281382
2020-04-20,67.20510864257812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[70.30208699769793],[68.48357303084391],[70.30208699769793],[68.48357303084391],['TEMA cross_above None'],['TEMA cross_below None'],70.30208699769793,70.30208699769793
2020-04-21,65.12776947021484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[69.57172267208988],[68.67342809796487],[69.57172267208988],[68.67342809796487],['TEMA cross_above None'],['TEMA cross_below None'],69.57172267208988,69.57172267208988
2020-04-22,67.00371551513672,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[68.04772545772569],[68.26066400375153],[68.04772545772569],[68.26066400375153],['TEMA cross_above None'],['TEMA cross_below None'],68.04772545772569,68.04772545772569
2020-04-23,66.74402618408203,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.81131051975102],[68.38180806088408],[67.81131051975102],[68.38180806088408],['TEMA cross_above None'],['TEMA cross_below None'],67.81131051975102,67.81131051975102
2020-04-24,68.67088317871094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.49342908825957],[68.38799567332804],[67.49342908825957],[68.38799567332804],['TEMA cross_above None'],['TEMA cross_below None'],67.49342908825957,67.49342908825957
