date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_UO,exit0_UO
2020-02-13,78.8391342163086,0,[True],[False],BUY. Shares: 42,Entry conditions met: True,{},"{'order_size': 42, 'order_price': None, 'order_valid': None, 'order_status': 1}",[14.660055991314433],[None],[14.660055991314433],[None],['UO < 40'],['UO > 60'],14.660055991314433,14.660055991314433
2020-02-14,78.8585433959961,42,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[8.065417817088507],[None],[8.065417817088507],[None],['UO < 40'],['UO > 60'],8.065417817088507,8.065417817088507
2020-02-18,77.41459655761719,42,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[7.353010044140757],[None],[7.353010044140757],[None],['UO < 40'],['UO > 60'],7.353010044140757,7.353010044140757
2020-02-19,78.5357894897461,42,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[-1.0591368740415172],[None],[-1.0591368740415172],[None],['UO < 40'],['UO > 60'],-1.0591368740415172,-1.0591368740415172
2020-02-20,77.73008728027344,42,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[5.293257700684932],[None],[5.293257700684932],[None],['UO < 40'],['UO > 60'],5.293257700684932,5.293257700684932
2020-02-21,75.97065734863281,42,[True],[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 75.97 < 77.00'},"{'order_size': -42, 'order_price': None, 'order_valid': None, 'order_status': 1}",[1.0868627083461617],[None],[1.0868627083461617],[None],['UO < 40'],['UO > 60'],1.0868627083461617,1.0868627083461617
2020-02-24,72.3620376586914,0,[True],[False],BUY. Shares: 45,Entry conditions met: True,{},"{'order_size': 45, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-2.3937222283270616],[None],[-2.3937222283270616],[None],['UO < 40'],['UO > 60'],-2.3937222283270616,-2.3937222283270616
2020-02-25,69.91097259521484,45,[True],[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 69.91 < 70.60'},"{'order_size': -45, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-8.046654957537832],[None],[-8.046654957537832],[None],['UO < 40'],['UO > 60'],-8.046654957537832,-8.046654957537832
2020-02-26,71.0199966430664,0,[True],[False],BUY. Shares: 47,Entry conditions met: True,{},"{'order_size': 47, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-12.918234775542032],[None],[-12.918234775542032],[None],['UO < 40'],['UO > 60'],-12.918234775542032,-12.918234775542032
2020-02-27,66.3775634765625,47,[True],[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 66.38 < 68.05'},"{'order_size': -47, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-8.627574999643043],[None],[-8.627574999643043],[None],['UO < 40'],['UO > 60'],-8.627574999643043,-8.627574999643043
2020-02-28,66.33873748779297,0,[True],[False],BUY. Shares: 49,Entry conditions met: True,{},"{'order_size': 49, 'order_price': None, 'order_valid': None, 'order_status': 1}",[-11.763257663016361],[None],[-11.763257663016361],[None],['UO < 40'],['UO > 60'],-11.763257663016361,-11.763257663016361
2020-03-02,72.514892578125,49,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[-6.22969637250886],[None],[-6.22969637250886],[None],['UO < 40'],['UO > 60'],-6.22969637250886,-6.22969637250886
2020-03-03,70.21188354492188,49,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[11.2775162392598],[None],[11.2775162392598],[None],['UO < 40'],['UO > 60'],11.2775162392598,11.2775162392598
2020-03-04,73.46864318847656,49,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[10.7979208750282],[None],[10.7979208750282],[None],['UO < 40'],['UO > 60'],10.7979208750282,10.7979208750282
2020-03-05,71.08551788330078,49,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[16.43131225271583],[None],[16.43131225271583],[None],['UO < 40'],['UO > 60'],16.43131225271583,16.43131225271583
2020-03-06,70.14152526855469,49,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[16.130396692348608],[None],[16.130396692348608],[None],['UO < 40'],['UO > 60'],16.130396692348608,16.130396692348608
2020-03-09,64.59387969970703,49,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[14.834258612133581],[None],[14.834258612133581],[None],['UO < 40'],['UO > 60'],14.834258612133581,14.834258612133581
2020-03-10,69.24603271484375,49,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[15.13483901285407],[None],[15.13483901285407],[None],['UO < 40'],['UO > 60'],15.13483901285407,15.13483901285407
2020-03-11,66.8410873413086,49,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[20.464271043031054],[None],[20.464271043031054],[None],['UO < 40'],['UO > 60'],20.464271043031054,20.464271043031054
2020-03-12,60.240211486816406,49,[True],[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 60.24 < 61.10'},"{'order_size': -49, 'order_price': None, 'order_valid': None, 'order_status': 1}",[9.237876609754203],[None],[9.237876609754203],[None],['UO < 40'],['UO > 60'],9.237876609754203,9.237876609754203
2020-03-13,67.4574966430664,0,[True],[False],BUY. Shares: 48,Entry conditions met: True,{},"{'order_size': 48, 'order_price': None, 'order_valid': None, 'order_status': 1}",[7.893452196920587],[None],[7.893452196920587],[None],['UO < 40'],['UO > 60'],7.893452196920587,7.893452196920587
2020-03-16,58.77928161621094,48,[True],[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 58.78 < 62.91'},"{'order_size': -48, 'order_price': None, 'order_valid': None, 'order_status': 1}",[17.73814491903358],[None],[17.73814491903358],[None],['UO < 40'],['UO > 60'],17.73814491903358,17.73814491903358
2020-03-17,61.36381912231445,0,[True],[False],BUY. Shares: 49,Entry conditions met: True,{},"{'order_size': 49, 'order_price': None, 'order_valid': None, 'order_status': 1}",[16.535844827663684],[None],[16.535844827663684],[None],['UO < 40'],['UO > 60'],16.535844827663684,16.535844827663684
2020-03-18,59.86163330078125,49,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[20.249052966511044],[None],[20.249052966511044],[None],['UO < 40'],['UO > 60'],20.249052966511044,20.249052966511044
2020-03-19,59.40297317504883,49,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[23.939835158160086],[None],[23.939835158160086],[None],['UO < 40'],['UO > 60'],23.939835158160086,23.939835158160086
2020-03-20,55.63174057006836,49,[True],[False],SELL,Stop loss hit,{'stop_loss': 'Triggered: 55.63 < 58.78'},"{'order_size': -49, 'order_price': None, 'order_valid': None, 'order_status': 1}",[16.797259014989297],[None],[16.797259014989297],[None],['UO < 40'],['UO > 60'],16.797259014989297,16.797259014989297
2020-03-23,54.449893951416016,0,[True],[False],BUY. Shares: 55,Entry conditions met: True,{},"{'order_size': 55, 'order_price': None, 'order_valid': None, 'order_status': 1}",[12.572897920559953],[None],[12.572897920559953],[None],['UO < 40'],['UO > 60'],12.572897920559953,12.572897920559953
2020-03-24,59.91260528564453,0,[True],[False],BUY. Shares: 50,Entry conditions met: True,{},"{'order_size': 50, 'order_price': None, 'order_valid': None, 'order_status': 1}",[18.59623185644038],[None],[18.59623185644038],[None],['UO < 40'],['UO > 60'],18.59623185644038,18.59623185644038
2020-03-25,59.582557678222656,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[17.80667851509083],[None],[17.80667851509083],[None],['UO < 40'],['UO > 60'],17.80667851509083,17.80667851509083
2020-03-26,62.71796798706055,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[20.52601417238159],[None],[20.52601417238159],[None],['UO < 40'],['UO > 60'],20.52601417238159,20.52601417238159
2020-03-27,60.121299743652344,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[23.016730481160355],[None],[23.016730481160355],[None],['UO < 40'],['UO > 60'],23.016730481160355,23.016730481160355
2020-03-30,61.8370361328125,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[19.51741425360454],[None],[19.51741425360454],[None],['UO < 40'],['UO > 60'],19.51741425360454,19.51741425360454
2020-03-31,61.710845947265625,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[22.31602820462072],[None],[22.31602820462072],[None],['UO < 40'],['UO > 60'],22.31602820462072,22.31602820462072
2020-04-01,58.46380615234375,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[25.948037074249697],[None],[25.948037074249697],[None],['UO < 40'],['UO > 60'],25.948037074249697,25.948037074249697
2020-04-02,59.439369201660156,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[22.291344115315233],[None],[22.291344115315233],[None],['UO < 40'],['UO > 60'],22.291344115315233,22.291344115315233
2020-04-03,58.58515167236328,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[12.392424590489151],[None],[12.392424590489151],[None],['UO < 40'],['UO > 60'],12.392424590489151,12.392424590489151
2020-04-06,63.695960998535156,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[12.436845329590582],[None],[12.436845329590582],[None],['UO < 40'],['UO > 60'],12.436845329590582,12.436845329590582
2020-04-07,62.958213806152344,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[18.17901412756551],[None],[18.17901412756551],[None],['UO < 40'],['UO > 60'],18.17901412756551,18.17901412756551
2020-04-08,64.56962585449219,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[18.799872874299737],[None],[18.799872874299737],[None],['UO < 40'],['UO > 60'],18.799872874299737,18.799872874299737
2020-04-09,65.0355453491211,50,[True],[False],HOLD,Holding position; exit conditions: False,{},{},[19.44130477117431],[None],[19.44130477117431],[None],['UO < 40'],['UO > 60'],19.44130477117431,19.44130477117431
