date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_WMA,exit0_WMA
2020-02-14,78.8585433959961,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.79045378367105],[77.11288701539398],[77.79045378367105],[77.11288701539398],['WMA cross_above None'],['WMA cross_below None'],77.79045378367105,77.79045378367105
2020-02-18,77.41459655761719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.97584336598715],[77.28477425523984],[77.97584336598715],[77.28477425523984],['WMA cross_above None'],['WMA cross_below None'],77.97584336598715,77.97584336598715
2020-02-19,78.5357894897461,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.96578725179036],[77.35029403522451],[77.96578725179036],[77.35029403522451],['WMA cross_above None'],['WMA cross_below None'],77.96578725179036,77.96578725179036
2020-02-20,77.73008728027344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.07407665252686],[77.47652413973245],[78.07407665252686],[77.47652413973245],['WMA cross_above None'],['WMA cross_below None'],78.07407665252686,78.07407665252686
2020-02-21,75.97065734863281,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.0681396484375],[77.53797154580393],[78.0681396484375],[77.53797154580393],['WMA cross_above None'],['WMA cross_below None'],78.0681396484375,78.0681396484375
2020-02-24,72.3620376586914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.84889106750488],[77.47410404656523],[77.84889106750488],[77.47410404656523],['WMA cross_above None'],['WMA cross_below None'],77.84889106750488,77.84889106750488
2020-02-25,69.91097259521484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.19889602661132],[77.17190194078671],[77.19889602661132],[77.17190194078671],['WMA cross_above None'],['WMA cross_below None'],77.19889602661132,77.19889602661132
2020-02-26,71.0199966430664,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[76.26394888559977],[76.71715964040449],[76.26394888559977],[76.71715964040449],['WMA cross_above None'],['WMA cross_below None'],76.26394888559977,76.26394888559977
2020-02-27,66.3775634765625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.50777117411296],[76.34519587691112],[75.50777117411296],[76.34519587691112],['WMA cross_above None'],['WMA cross_below None'],75.50777117411296,75.50777117411296
2020-02-28,66.33873748779297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[74.22274767557779],[75.68601584485782],[74.22274767557779],[75.68601584485782],['WMA cross_above None'],['WMA cross_below None'],74.22274767557779,74.22274767557779
2020-03-02,72.514892578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.02826169331868],[75.0443817466818],[73.02826169331868],[75.0443817466818],['WMA cross_above None'],['WMA cross_below None'],73.02826169331868,73.02826169331868
2020-03-03,70.21188354492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[72.70909557342529],[74.82064596196656],[72.70909557342529],[74.82064596196656],['WMA cross_above None'],['WMA cross_below None'],72.70909557342529,72.70909557342529
2020-03-04,73.46864318847656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[72.14496733347575],[74.45651414112378],[72.14496733347575],[74.45651414112378],['WMA cross_above None'],['WMA cross_below None'],72.14496733347575,72.14496733347575
