date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_ZLEMA,exit0_ZLEMA
2020-03-06,70.14152526855469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.78288954273658],[74.45359649658204],[71.78288954273658],[74.45359649658204],['ZLEMA cross_above None'],['ZLEMA cross_below None'],71.78288954273658,71.78288954273658
2020-03-09,64.59387969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.05293834569072],[73.6130100865518],[71.05293834569072],[73.6130100865518],['ZLEMA cross_above None'],['ZLEMA cross_below None'],71.05293834569072,71.05293834569072
2020-03-10,69.24603271484375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.85710880183643],[72.2039876836644],[68.85710880183643],[72.2039876836644],['ZLEMA cross_above None'],['ZLEMA cross_below None'],68.85710880183643,68.85710880183643
2020-03-11,66.8410873413086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.1600748817227],[71.41381273245646],[68.1600748817227],[71.41381273245646],['ZLEMA cross_above None'],['ZLEMA cross_below None'],68.1600748817227,68.1600748817227
2020-03-12,60.240211486816406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.14854432128519],[70.41628206599759],[67.14854432128519],[70.41628206599759],['ZLEMA cross_above None'],['ZLEMA cross_below None'],67.14854432128519,67.14854432128519
2020-03-13,67.4574966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[64.09224493652026],[68.74489390851387],[64.09224493652026],[68.74489390851387],['ZLEMA cross_above None'],['ZLEMA cross_below None'],64.09224493652026,64.09224493652026
2020-03-16,58.77928161621094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.22476650923035],[68.34541401941243],[65.22476650923035],[68.34541401941243],['ZLEMA cross_above None'],['ZLEMA cross_below None'],65.22476650923035,65.22476650923035
2020-03-17,61.36381912231445,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[62.14981451074812],[67.01007057539918],[62.14981451074812],[67.01007057539918],['ZLEMA cross_above None'],['ZLEMA cross_below None'],62.14981451074812,62.14981451074812
2020-03-18,59.86163330078125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[61.01103930939761],[66.02281709321618],[61.01103930939761],[66.02281709321618],['ZLEMA cross_above None'],['ZLEMA cross_below None'],61.01103930939761,61.01103930939761
2020-03-19,59.40297317504883,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[60.73322400127915],[65.2049387726861],[60.73322400127915],[65.2049387726861],['ZLEMA cross_above None'],['ZLEMA cross_below None'],60.73322400127915,60.73322400127915
2020-03-20,55.63174057006836,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[59.02690140232498],[64.3831497462099],[59.02690140232498],[64.3831497462099],['ZLEMA cross_above None'],['ZLEMA cross_below None'],59.02690140232498,59.02690140232498
2020-03-23,54.449893951416016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.83731924261603],[62.729307089164855],[57.83731924261603],[62.729307089164855],['ZLEMA cross_above None'],['ZLEMA cross_below None'],57.83731924261603,57.83731924261603
2020-03-24,59.91260528564453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[55.9643464313254],[61.17824884843875],[55.9643464313254],[61.17824884843875],['ZLEMA cross_above None'],['ZLEMA cross_below None'],55.9643464313254,55.9643464313254
2020-03-25,59.582557678222656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[56.69147931117675],[60.22201133452738],[56.69147931117675],[60.22201133452738],['ZLEMA cross_above None'],['ZLEMA cross_below None'],56.69147931117675,56.69147931117675
2020-03-26,62.71796798706055,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.2497816512167],[59.43862979508333],[57.2497816512167],[59.43862979508333],['ZLEMA cross_above None'],['ZLEMA cross_below None'],57.2497816512167,57.2497816512167
